Time_Stamp_Seconds,People_Detected,No_Detection
0.0,10,False
0.0763766898342625,10,False
0.1527533796685251,10,False
0.2291300695027877,10,False
0.3055067593370503,10,False
0.3818834491713129,10,False
0.4582601390055755,10,False
0.5346368288398381,10,False
0.6110135186741007,10,False
0.6873902085083633,10,False
0.7637668983426258,10,False
0.8401435881768884,10,False
0.916520278011151,10,False
0.9928969678454136,10,False
1.0692736576796762,10,False
1.1456503475139388,10,False
1.2220270373482014,10,False
1.298403727182464,10,False
1.3747804170167266,10,False
1.451157106850989,10,False
1.5275337966852516,10,False
1.6039104865195142,10,False
1.6802871763537768,10,False
1.7566638661880394,10,False
1.833040556022302,10,False
1.9094172458565648,10,False
1.9857939356908272,10,False
2.0621706255250896,10,False
2.1385473153593524,10,False
2.2149240051936148,10,False
2.2913006950278776,10,False
2.36767738486214,10,False
2.444054074696403,10,False
2.520430764530665,10,False
2.596807454364928,10,False
2.6731841441991904,10,False
2.749560834033453,10,False
2.825937523867716,10,False
2.902314213701978,10,False
2.9786909035362408,11,False
3.055067593370503,11,False
3.131444283204766,12,False
3.2078209730390284,12,False
3.284197662873291,11,False
3.3605743527075536,11,False
3.4369510425418164,11,False
3.5133277323760788,11,False
3.5897044222103416,12,False
3.666081112044604,12,False
3.742457801878867,11,False
3.818834491713129,11,False
3.895211181547392,11,False
3.9715878713816544,11,False
4.047964561215917,11,False
4.124341251050179,11,False
4.200717940884442,10,False
4.277094630718705,10,False
4.353471320552967,10,False
4.4298480103872295,10,False
4.506224700221493,10,False
4.582601390055755,10,False
4.6589780798900176,10,False
4.73535476972428,10,False
4.811731459558542,10,False
4.888108149392806,10,False
4.964484839227068,10,False
5.04086152906133,10,False
5.117238218895593,11,False
5.193614908729856,9,False
5.269991598564118,9,False
5.346368288398381,10,False
5.422744978232643,11,False
5.499121668066906,10,False
5.575498357901169,9,False
5.651875047735431,9,False
5.7282517375696935,9,False
5.804628427403956,9,False
5.881005117238219,9,False
5.9573818070724815,9,False
6.033758496906744,9,False
6.110135186741006,9,False
6.18651187657527,9,False
6.262888566409532,9,False
6.339265256243794,10,False
6.415641946078057,10,False
6.49201863591232,10,False
6.568395325746582,10,False
6.644772015580845,9,False
6.721148705415107,9,False
6.7975253952493695,8,False
6.873902085083633,8,False
6.950278774917895,8,False
7.0266554647521575,8,False
7.10303215458642,8,False
7.179408844420683,8,False
7.2557855342549455,8,False
7.332162224089208,8,False
7.40853891392347,8,False
7.484915603757734,10,False
7.561292293591996,10,False
7.637668983426258,11,False
7.714045673260521,10,False
7.790422363094783,10,False
7.866799052929046,9,False
7.943175742763309,10,False
8.019552432597571,10,False
8.095929122431833,12,False
8.172305812266096,12,False
8.248682502100358,12,False
8.325059191934622,12,False
8.401435881768885,12,False
