Frame_Index,Time_Stamp_Seconds,Track_ID,Class,Class_Name,Confidence
0,0.0,1,0,person,0.8304619789123535
0,0.0,2,0,person,0.60411137342453
0,0.0,3,0,person,0.5990189909934998
0,0.0,4,0,person,0.592991292476654
0,0.0,5,0,person,0.5217275023460388
0,0.0,6,0,person,0.513177216053009
0,0.0,7,0,person,0.4484853446483612
0,0.0,8,0,person,0.4418368339538574
0,0.0,9,0,person,0.33781182765960693
0,0.0,10,0,person,0.27325913310050964
1,0.07637668983426259,1,0,person,0.8304440975189209
1,0.07637668983426259,2,0,person,0.6040786504745483
1,0.07637668983426259,3,0,person,0.5990143418312073
1,0.07637668983426259,4,0,person,0.5929903984069824
1,0.07637668983426259,5,0,person,0.5219172835350037
1,0.07637668983426259,6,0,person,0.5148043632507324
1,0.07637668983426259,7,0,person,0.44855940341949463
1,0.07637668983426259,8,0,person,0.44329360127449036
1,0.07637668983426259,9,0,person,0.33780720829963684
1,0.07637668983426259,10,0,person,0.2733727991580963
2,0.15275337966852517,1,0,person,0.8303599953651428
2,0.15275337966852517,2,0,person,0.6043689846992493
2,0.15275337966852517,3,0,person,0.5964566469192505
2,0.15275337966852517,4,0,person,0.5950669050216675
2,0.15275337966852517,5,0,person,0.5220811367034912
2,0.15275337966852517,6,0,person,0.5097573399543762
2,0.15275337966852517,7,0,person,0.44840988516807556
2,0.15275337966852517,8,0,person,0.44452062249183655
2,0.15275337966852517,9,0,person,0.3378811478614807
2,0.15275337966852517,10,0,person,0.2721620500087738
3,0.22913006950278775,1,0,person,0.8303595781326294
3,0.22913006950278775,2,0,person,0.6043434143066406
3,0.22913006950278775,3,0,person,0.5965111255645752
3,0.22913006950278775,4,0,person,0.5950593948364258
3,0.22913006950278775,5,0,person,0.5221594572067261
3,0.22913006950278775,6,0,person,0.5098183751106262
3,0.22913006950278775,7,0,person,0.4484294354915619
3,0.22913006950278775,8,0,person,0.44550198316574097
3,0.22913006950278775,9,0,person,0.3379349112510681
3,0.22913006950278775,10,0,person,0.27223867177963257
4,0.30550675933705035,1,0,person,0.8303558230400085
4,0.30550675933705035,2,0,person,0.6043434143066406
4,0.30550675933705035,3,0,person,0.5965111255645752
4,0.30550675933705035,4,0,person,0.5950530767440796
4,0.30550675933705035,5,0,person,0.5221594572067261
4,0.30550675933705035,6,0,person,0.5097585320472717
4,0.30550675933705035,7,0,person,0.4484294354915619
4,0.30550675933705035,8,0,person,0.44550198316574097
4,0.30550675933705035,9,0,person,0.33793479204177856
4,0.30550675933705035,10,0,person,0.27223867177963257
5,0.3818834491713129,1,0,person,0.8311653137207031
5,0.3818834491713129,2,0,person,0.603290319442749
5,0.3818834491713129,3,0,person,0.5960555672645569
5,0.3818834491713129,4,0,person,0.5951688289642334
5,0.3818834491713129,5,0,person,0.5222866535186768
5,0.3818834491713129,6,0,person,0.5086895823478699
5,0.3818834491713129,7,0,person,0.44902560114860535
5,0.3818834491713129,8,0,person,0.4439241886138916
5,0.3818834491713129,9,0,person,0.3383679687976837
5,0.3818834491713129,10,0,person,0.2755661606788635
6,0.4582601390055755,1,0,person,0.8311620950698853
6,0.4582601390055755,2,0,person,0.6032900810241699
6,0.4582601390055755,3,0,person,0.5960555672645569
6,0.4582601390055755,4,0,person,0.5951383113861084
6,0.4582601390055755,5,0,person,0.5222868919372559
6,0.4582601390055755,6,0,person,0.5085849761962891
6,0.4582601390055755,7,0,person,0.44902560114860535
6,0.4582601390055755,8,0,person,0.44392454624176025
6,0.4582601390055755,9,0,person,0.33836784958839417
6,0.4582601390055755,10,0,person,0.2755661606788635
7,0.5346368288398381,1,0,person,0.8311619162559509
7,0.5346368288398381,2,0,person,0.6032899618148804
7,0.5346368288398381,3,0,person,0.5960521697998047
7,0.5346368288398381,4,0,person,0.5951381325721741
7,0.5346368288398381,5,0,person,0.5222853422164917
7,0.5346368288398381,6,0,person,0.5085850954055786
7,0.5346368288398381,7,0,person,0.44902414083480835
7,0.5346368288398381,8,0,person,0.44392305612564087
7,0.5346368288398381,9,0,person,0.33836668729782104
7,0.5346368288398381,10,0,person,0.2755661606788635
